"Pincode","State","District","Hospitalized","Deceased","Recovered"
689648,"KL","Pathanamthitta",6,0,8
689602,"KL","Pathanamthitta",6,0,8
695015,"KL","Thiruvananthapuram",8,1,4
695551,"KL","Thiruvananthapuram",8,1,4
695305,"KL","Thiruvananthapuram",8,1,4
695035,"KL","Thiruvananthapuram",8,1,4
689623,"KL","Alappuzha",2,0,1
679572,"KL","Malappuram",12,0,1
685606,"KL","Idukki",7,0,3
676506,"KL","Malappuram",12,0,1
695124,"KL","Thiruvananthapuram",8,1,4
695588,"KL","Thiruvananthapuram",8,1,4
688506,"KL","Alappuzha",2,0,1
689532,"KL","Pathanamthitta",6,0,8
688002,"KL","Alappuzha",2,0,1
688540,"KL","Alappuzha",2,0,1
695587,"KL","Thiruvananthapuram",8,1,4
695562,"KL","Thiruvananthapuram",8,1,4
690571,"KL","Alappuzha",2,0,1
676510,"KL","Malappuram",12,0,1
695027,"KL","Thiruvananthapuram",8,1,4
690107,"KL","Alappuzha",2,0,1
695010,"KL","Thiruvananthapuram",8,1,4
683512,"KL","Ernakulam",19,1,4
695132,"KL","Thiruvananthapuram",8,1,4
682011,"KL","Ernakulam",19,1,4
695302,"KL","Thiruvananthapuram",8,1,4
683108,"KL","Ernakulam",19,1,4
682007,"KL","Ernakulam",19,1,4
680667,"KL","Ernakulam",19,1,4
683546,"KL","Ernakulam",19,1,4
683502,"KL","Ernakulam",19,1,4
679331,"KL","Malappuram",12,0,1
670502,"KL","Kannur",42,0,9
670306,"KL","Kannur",42,0,9
670327,"KL","Kannur",42,0,9
670301,"KL","Kannur",42,0,9
683543,"KL","Ernakulam",19,1,4
683112,"KL","Ernakulam",19,1,4
689650,"KL","Pathanamthitta",6,0,8
689711,"KL","Pathanamthitta",6,0,8
686606,"KL","Kottayam",0,0,3
689112,"KL","Pathanamthitta",6,0,8
691306,"KL","Kollam",6,0,0
691525,"KL","Pathanamthitta",6,0,8
686609,"KL","Kottayam",0,0,3
689123,"KL","Pathanamthitta",6,0,8
689666,"KL","Pathanamthitta",6,0,8
689122,"KL","Pathanamthitta",6,0,8
689582,"KL","Pathanamthitta",6,0,8
670673,"KL","Kannur",42,0,9
679329,"KL","Malappuram",12,0,1
676525,"KL","Malappuram",12,0,1
689126,"KL","Alappuzha",2,0,1
678592,"KL","Palakkad",7,0,0
678542,"KL","Palakkad",7,0,0
682501,"KL","Ernakulam",19,1,4
676101,"KL","Malappuram",12,0,1
679341,"KL","Malappuram",12,0,1
695023,"KL","Thiruvananthapuram",8,1,4
695125,"KL","Thiruvananthapuram",8,1,4
695584,"KL","Thiruvananthapuram",8,1,4
695309,"KL","Thiruvananthapuram",8,1,4
671551,"KL","Kasaragod",138,0,5
671124,"KL","Kasaragod",138,0,5
683542,"KL","Ernakulam",19,1,4
678508,"KL","Palakkad",7,0,0
678005,"KL","Palakkad",7,0,0
695141,"KL","Thiruvananthapuram",8,1,4
671311,"KL","Kasaragod",138,0,5
671312,"KL","Kasaragod",138,0,5
671552,"KL","Kasaragod",138,0,5
682019,"KL","Ernakulam",19,1,4
676121,"KL","Malappuram",12,0,1
695012,"KL","Thiruvananthapuram",8,1,4
695589,"KL","Thiruvananthapuram",8,1,4
689109,"KL","Alappuzha",2,0,1
688527,"KL","Alappuzha",2,0,1
690104,"KL","Alappuzha",2,0,1
683575,"KL","Ernakulam",19,1,4
682004,"KL","Ernakulam",19,1,4
686636,"KL","Kottayam",0,0,3
686537,"KL","Kottayam",0,0,3
686536,"KL","Kottayam",0,0,3
689533,"KL","Pathanamthitta",6,0,8
686502,"KL","Kottayam",0,0,3
670521,"KL","Kannur",42,0,9
685509,"KL","Idukki",7,0,3
670649,"KL","Kannur",42,0,9
670593,"KL","Kannur",42,0,9
678574,"KL","Palakkad",7,0,0
683573,"KL","Ernakulam",19,1,4
670103,"KL","Kannur",42,0,9
679103,"KL","Palakkad",7,0,0
676502,"KL","Malappuram",12,0,1
695609,"KL","Thiruvananthapuram",8,1,4
695582,"KL","Thiruvananthapuram",8,1,4
682008,"KL","Ernakulam",19,1,4
682003,"KL","Ernakulam",19,1,4
682507,"KL","Ernakulam",19,1,4
683518,"KL","Ernakulam",19,1,4
682017,"KL","Ernakulam",19,1,4
671318,"KL","Kasaragod",138,0,5
682503,"KL","Ernakulam",19,1,4
682309,"KL","Ernakulam",19,1,4
682026,"KL","Ernakulam",19,1,4
679503,"KL","Palakkad",7,0,0
682021,"KL","Ernakulam",19,1,4
678631,"KL","Palakkad",7,0,0
682313,"KL","Ernakulam",19,1,4
695601,"KL","Thiruvananthapuram",8,1,4
695145,"KL","Thiruvananthapuram",8,1,4
683516,"KL","Ernakulam",19,1,4
695561,"KL","Thiruvananthapuram",8,1,4
683563,"KL","Ernakulam",19,1,4
683578,"KL","Ernakulam",19,1,4
682015,"KL","Ernakulam",19,1,4
682038,"KL","Ernakulam",19,1,4
695505,"KL","Thiruvananthapuram",8,1,4
689574,"KL","Alappuzha",2,0,1
688008,"KL","Alappuzha",2,0,1
689572,"KL","Alappuzha",2,0,1
688006,"KL","Alappuzha",2,0,1
689581,"KL","Pathanamthitta",6,0,8
686633,"KL","Kottayam",0,0,3
689104,"KL","Pathanamthitta",6,0,8
679534,"KL","Palakkad",7,0,0
679504,"KL","Palakkad",7,0,0
678555,"KL","Palakkad",7,0,0
678512,"KL","Palakkad",7,0,0
670741,"KL","Kannur",42,0,9
676304,"KL","Malappuram",12,0,1
678546,"KL","Palakkad",7,0,0
678591,"KL","Palakkad",7,0,0
695316,"KL","Thiruvananthapuram",8,1,4
695585,"KL","Thiruvananthapuram",8,1,4
676109,"KL","Malappuram",12,0,1
676542,"KL","Malappuram",12,0,1
682506,"KL","Ernakulam",19,1,4
679587,"KL","Malappuram",12,0,1
683513,"KL","Ernakulam",19,1,4
671326,"KL","Kasaragod",138,0,5
682030,"KL","Ernakulam",19,1,4
683104,"KL","Ernakulam",19,1,4
678554,"KL","Palakkad",7,0,0
682306,"KL","Ernakulam",19,1,4
678685,"KL","Palakkad",7,0,0
679326,"KL","Malappuram",12,0,1
679325,"KL","Malappuram",12,0,1
678597,"KL","Palakkad",7,0,0
683562,"KL","Ernakulam",19,1,4
682314,"KL","Ernakulam",19,1,4
678507,"KL","Palakkad",7,0,0
682027,"KL","Ernakulam",19,1,4
683576,"KL","Ernakulam",19,1,4
679338,"KL","Malappuram",12,0,1
676519,"KL","Malappuram",12,0,1
686016,"KL","Kottayam",0,0,3
686578,"KL","Kottayam",0,0,3
673640,"KL","Malappuram",12,0,1
679123,"KL","Palakkad",7,0,0
683102,"KL","Ernakulam",19,1,4
686555,"KL","Kottayam",0,0,3
673631,"KL","Kozhikode",10,0,2
686546,"KL","Kottayam",0,0,3
673302,"KL","Kozhikode",10,0,2
685507,"KL","Idukki",7,0,3
686542,"KL","Kottayam",0,0,3
678671,"KL","Palakkad",7,0,0
685619,"KL","Idukki",7,0,3
679553,"KL","Palakkad",7,0,0
695143,"KL","Thiruvananthapuram",8,1,4
683550,"KL","Ernakulam",19,1,4
686574,"KL","Kottayam",0,0,3
686545,"KL","Kottayam",0,0,3
686661,"KL","Ernakulam",19,1,4
682001,"KL","Ernakulam",19,1,4
682301,"KL","Ernakulam",19,1,4
679515,"KL","Palakkad",7,0,0
678688,"KL","Palakkad",7,0,0
671531,"KL","Kasaragod",138,0,5
683561,"KL","Ernakulam",19,1,4
678104,"KL","Palakkad",7,0,0
